,Country,GDP
2015-04-12,Argentina,2.591096085
2015-04-13,Argentina,2.591096085
2015-04-14,Argentina,2.591096085
2015-04-15,Argentina,2.591096085
2015-04-16,Argentina,2.591096085
2015-04-17,Argentina,2.591096085
2015-04-18,Argentina,2.591096085
2015-04-19,Argentina,2.591096085
2015-04-20,Argentina,2.591096085
2015-04-21,Argentina,2.591096085
2015-04-22,Argentina,2.591096085
2015-04-23,Argentina,2.591096085
2015-04-24,Argentina,2.591096085
2015-04-25,Argentina,2.591096085
2015-04-26,Argentina,2.591096085
2015-04-27,Argentina,2.591096085
2015-04-28,Argentina,2.591096085
2015-04-29,Argentina,2.591096085
2015-04-30,Argentina,2.591096085
2015-05-01,Argentina,2.591096085
2015-05-02,Argentina,2.591096085
2015-05-03,Argentina,2.591096085
2015-05-04,Argentina,2.591096085
2015-05-05,Argentina,2.591096085
2015-05-06,Argentina,2.591096085
2015-05-07,Argentina,2.591096085
2015-05-08,Argentina,2.591096085
2015-05-09,Argentina,2.591096085
2015-05-10,Argentina,2.591096085
2015-05-11,Argentina,2.591096085
2015-05-12,Argentina,2.591096085
2015-05-13,Argentina,2.591096085
2015-05-14,Argentina,2.591096085
2015-05-15,Argentina,2.591096085
2015-05-16,Argentina,2.591096085
2015-05-17,Argentina,2.591096085
2015-05-18,Argentina,2.591096085
2015-05-19,Argentina,2.591096085
2015-05-20,Argentina,2.591096085
2015-05-21,Argentina,2.591096085
2015-05-22,Argentina,2.591096085
2015-05-23,Argentina,2.591096085
2015-05-24,Argentina,2.591096085
2015-05-25,Argentina,2.591096085
2015-05-26,Argentina,2.591096085
2015-05-27,Argentina,2.591096085
2015-05-28,Argentina,2.591096085
2015-05-29,Argentina,2.591096085
2015-05-30,Argentina,2.591096085
2015-05-31,Argentina,2.591096085
2015-06-01,Argentina,2.591096085
2015-06-02,Argentina,2.591096085
2015-06-03,Argentina,2.591096085
2015-06-04,Argentina,2.591096085
2015-06-05,Argentina,2.591096085
2015-06-06,Argentina,2.591096085
2015-06-07,Argentina,2.591096085
2015-06-08,Argentina,2.591096085
2015-06-09,Argentina,2.591096085
2015-06-10,Argentina,2.591096085
2015-06-11,Argentina,2.591096085
2015-06-12,Argentina,2.591096085
2015-06-13,Argentina,2.591096085
2015-06-14,Argentina,2.591096085
2015-06-15,Argentina,2.591096085
2015-06-16,Argentina,2.591096085
2015-06-17,Argentina,2.591096085
2015-06-18,Argentina,2.591096085
2015-06-19,Argentina,2.591096085
2015-06-20,Argentina,2.591096085
2015-06-21,Argentina,2.591096085
2015-06-22,Argentina,2.591096085
2015-06-23,Argentina,2.591096085
2015-06-24,Argentina,2.591096085
2015-06-25,Argentina,2.591096085
2015-06-26,Argentina,2.591096085
2015-06-27,Argentina,2.591096085
2015-06-28,Argentina,2.591096085
2015-06-29,Argentina,2.591096085
2015-06-30,Argentina,2.591096085
2015-07-01,Argentina,-0.249786249
2015-07-02,Argentina,-0.249786249
2015-07-03,Argentina,-0.249786249
2015-07-04,Argentina,-0.249786249
2015-07-05,Argentina,-0.249786249
2015-07-06,Argentina,-0.249786249
2015-07-07,Argentina,-0.249786249
2015-07-08,Argentina,-0.249786249
2015-07-09,Argentina,-0.249786249
2015-07-10,Argentina,-0.249786249
2015-07-11,Argentina,-0.249786249
